"WATER BODY NAME","POLLUTANT","POLLUTANT CATEGORY"
"Five Mile Slough (Alexandria Place to Fourteen Mile Slough; in Delta Waterways, eastern portion)","Diazinon","Pesticides"
"French Camp Slough (confluence of Littlejohns and Lone Tree Creeks to San Joaquin River, San Joaquin Co; partly in Delta Waterways, eastern portion)","Diazinon","Pesticides"
"Mosher Slough (downstream of I-5; in Delta Waterways, eastern portion)","Diazinon","Pesticides"
"Pixley Slough (San Joaquin County; partly in Delta Waterways, eastern portion)","Diazinon","Pesticides"
"Sand Creek (tributary to Marsh Creek, Contra Costa County; partly in Delta Waterways, western portion)","Diazinon","Pesticides"
"Stanislaus River, Lower","Diazinon","Pesticides"
"Suisun Slough","Diazinon","Pesticides"
"Ulatis Creek (Solano County)","Diazinon","Pesticides"
"Delta Waterways (northern portion)","Dieldrin","Pesticides"
"Delta Waterways (western portion)","Dieldrin","Pesticides"
"Sacramento River (Knights Landing to the Delta)","Dieldrin","Pesticides"
"Sacramento San Joaquin Delta","Dieldrin","Pesticides"
"Sand Creek (tributary to Marsh Creek, Contra Costa County; partly in Delta Waterways, western portion)","Dieldrin","Pesticides"
"Suisun Bay","Dieldrin","Pesticides"
"Pixley Slough (San Joaquin County; partly in Delta Waterways, eastern portion)","Disulfoton","Pesticides"
"Sand Creek (tributary to Marsh Creek, Contra Costa County; partly in Delta Waterways, western portion)","Disulfoton","Pesticides"
"San Joaquin River (Stanislaus River to Delta Boundary)","Diuron","Pesticides"
"Ulatis Creek (Solano County)","Diuron","Pesticides"
"Delta Waterways (central portion)","Group A Pesticides","Pesticides"
"Delta Waterways (eastern portion)","Group A Pesticides","Pesticides"
"Delta Waterways (export area)","Group A Pesticides","Pesticides"
"Delta Waterways (northern portion)","Group A Pesticides","Pesticides"
"Delta Waterways (northwestern portion)","Group A Pesticides","Pesticides"
"Delta Waterways (southern portion)","Group A Pesticides","Pesticides"
"Delta Waterways (Stockton Ship Channel)","Group A Pesticides","Pesticides"
"Delta Waterways (western portion)","Group A Pesticides","Pesticides"
"San Joaquin River (Stanislaus River to Delta Boundary)","Group A Pesticides","Pesticides"
"Stanislaus River, Lower","Group A Pesticides","Pesticides"
"Smith Canal (in Delta Waterways, eastern portion)","Organophosphorus Pesticides","Pesticides"
"Kirker Creek","Pyrethroids","Pesticides"
"Delta Waterways (western portion)","Total DDT (sum of 4,4'- and 2,4'- isomers of DDT, DDE, and DDD)","Pesticides"
"San Joaquin River (Stanislaus River to Delta Boundary)","Toxaphene","Pesticides"
