Area_Type,Area_Name,Year,Quarter,Ownership,NAICS_Level,NAICS_Code,Industry_Name,Establishments,Average_Monthly_Employment,1st_Month_Emp,2nd_Month_Emp,3rd_Month_Emp,Total_Wages,Average_Weekly_Wages
California - Statewide,California,2019,1st Qtr,Private,4,1153,Support Activities for Forestry,151,"1,527","1,501","1,519","1,563","20,500,989.00","1,032.00"
California - Statewide,California,2019,1st Qtr,Private,6,115310,Support Activities for Forestry,151,"1,527","1,501","1,519","1,563","20,500,989.00","1,032.00"
California - Statewide,California,2019,1st Qtr,Private,6,111140,Wheat Farming,39,189,185,183,201,"1,787,576.00",725
California - Statewide,California,2019,1st Qtr,Private,5,11116,Rice Farming,454,"1,152","1,105","1,149","1,202","10,648,436.00",711
California - Statewide,California,2019,1st Qtr,Private,5,11119,Other Grain Farming,55,337,292,306,414,"2,982,304.00",680
California - Statewide,California,2019,1st Qtr,Private,6,111199,All Other Grain Farming,38,155,146,154,166,"1,516,697.00",751
California - Statewide,California,2019,1st Qtr,Private,4,1113,Fruit and Tree Nut Farming,"5,510","74,476","72,788","74,378","76,263","560,607,427.00",579
California - Statewide,California,2019,1st Qtr,Private,6,111419,Other Food Crops Grown Under Cover,176,"2,458","2,399","2,421","2,556","25,111,207.00",786
California - Statewide,California,2019,1st Qtr,Private,4,1119,Other Crop Farming,"1,196","7,760","7,274","7,801","8,205","78,390,443.00",777
California - Statewide,California,2019,1st Qtr,Private,3,112,Animal Production,"2,585","27,958","27,790","27,999","28,085","283,478,967.00",780
California - Statewide,California,2019,1st Qtr,Private,4,1122,Hog and Pig Farming,14,143,139,145,146,"1,619,703.00",869
California - Statewide,California,2019,1st Qtr,Private,6,112420,Goat Farming,23,106,106,105,107,"835,675.00",606
California - Statewide,California,2019,1st Qtr,Private,4,1125,Animal Aquaculture,79,482,498,478,470,"5,561,603.00",888
California - Statewide,California,2019,1st Qtr,Private,5,11299,All Other Animal Production,118,773,765,774,782,"9,942,138.00",989
California - Statewide,California,2019,1st Qtr,Private,3,113,Forestry and Logging,300,"1,609","1,698","1,591","1,539","20,679,199.00",988
California - Statewide,California,2019,1st Qtr,Private,4,1132,Forest Nursery/Gathering Forest Products,26,211,250,205,179,"2,416,431.00",880
California - Statewide,California,2019,1st Qtr,Private,4,1151,Support Activities for Crop Production,"3,602","180,001","181,694","181,640","176,670","1,371,049,927.00",586
California - Statewide,California,2019,1st Qtr,Private,6,115116,Farm Management Services,497,"10,633","9,723","11,023","11,154","110,124,661.00",797
California - Statewide,California,2019,1st Qtr,Private,4,1152,Support Activities for Animal Production,730,"3,018","3,006","3,010","3,038","27,440,207.00",699
California - Statewide,California,2019,1st Qtr,Private,4,1111,Oilseed and Grain Farming,631,"2,370","2,277","2,324","2,510","22,368,980.00",726
California - Statewide,California,2019,1st Qtr,Private,5,11111,Soybean Farming,3,12,12,12,13,"181,006.00","1,129.00"
California - Statewide,California,2019,1st Qtr,Private,6,111130,Dry Pea and Bean Farming,14,431,441,429,425,"4,263,850.00",760
California - Statewide,California,2019,1st Qtr,Private,5,11114,Wheat Farming,39,189,185,183,201,"1,787,576.00",725
California - Statewide,California,2019,1st Qtr,Private,6,111150,Corn Farming,59,240,236,238,248,"2,354,654.00",753
California - Statewide,California,2019,1st Qtr,Private,6,111160,Rice Farming,454,"1,152","1,105","1,149","1,202","10,648,436.00",711
California - Statewide,California,2019,1st Qtr,Private,6,111191,Oilseed and Grain Combination Farming,17,182,146,152,248,"1,465,607.00",619
California - Statewide,California,2019,1st Qtr,Private,5,11131,Orange Groves,209,"1,608","1,560","1,581","1,684","16,563,533.00",792
California - Statewide,California,2019,1st Qtr,Private,6,111332,Grape Vineyards,"1,448","19,721","19,660","20,076","19,429","153,699,985.00",599
California - Statewide,California,2019,1st Qtr,Private,6,111335,Tree Nut Farming,"1,927","16,574","16,993","16,891","15,840","145,329,125.00",674
California - Statewide,California,2019,1st Qtr,Private,6,111336,Fruit and Tree Nut Combination Farming,293,"3,558","3,554","3,400","3,721","32,394,615.00",700
California - Statewide,California,2019,1st Qtr,Private,6,111339,Other Noncitrus Fruit Farming,929,"9,443","9,725","9,435","9,169","74,256,758.00",605
California - Statewide,California,2019,1st Qtr,Private,6,111411,Mushroom Production,35,"2,269","2,250","2,274","2,284","21,846,715.00",741
California - Statewide,California,2019,1st Qtr,Private,6,111421,Nursery and Tree Production,505,"14,149","14,156","14,058","14,234","127,766,322.00",695
California - Statewide,California,2019,1st Qtr,Private,5,11211,"Beef Cattle Ranching, Farming, Feedlots",706,"4,639","4,650","4,633","4,634","45,408,449.00",753
California - Statewide,California,2019,1st Qtr,Private,6,112112,Cattle Feedlots,35,648,646,652,648,"7,767,303.00",921
California - Statewide,California,2019,1st Qtr,Private,5,11212,Dairy Cattle and Milk Production,"1,140","17,483","17,427","17,511","17,511","173,928,896.00",765
California - Statewide,California,2019,1st Qtr,Private,6,112210,Hog and Pig Farming,14,143,139,145,146,"1,619,703.00",869
California - Statewide,California,2019,1st Qtr,Private,6,112310,Chicken Egg Production,76,"1,574","1,563","1,569","1,592","17,374,784.00",849
California - Statewide,California,2019,1st Qtr,Private,5,11232,Broiler and Meat Type Chicken Production,18,66,63,67,68,"531,793.00",620
California - Statewide,California,2019,1st Qtr,Private,6,112340,Poultry Hatcheries,25,217,211,219,221,"2,004,447.00",711
California - Statewide,California,2019,1st Qtr,Private,4,1124,Sheep and Goat Farming,84,390,383,397,392,"3,073,835.00",605
California - Statewide,California,2019,1st Qtr,Private,5,11112,Oilseed (except Soybean) Farming,7,6,6,7,7,"151,154.00","1,744.00"
California - Statewide,California,2019,1st Qtr,Private,6,111120,Oilseed (except Soybean) Farming,7,6,6,7,7,"151,154.00","1,744.00"
California - Statewide,California,2019,1st Qtr,Private,5,11115,Corn Farming,59,240,236,238,248,"2,354,654.00",753
California - Statewide,California,2019,1st Qtr,Private,5,11121,Vegetable and Melon Farming,885,"25,395","24,301","24,971","26,915","245,739,395.00",744
California - Statewide,California,2019,1st Qtr,Private,6,111211,Potato Farming,63,"2,208","2,099","1,972","2,553","10,532,608.00",367
California - Statewide,California,2019,1st Qtr,Private,6,111320,Citrus (except Orange) Groves,210,"1,506","1,473","1,489","1,558","12,964,855.00",662
California - Statewide,California,2019,1st Qtr,Private,6,111333,Strawberry Farming,312,"15,231","13,527","14,590","17,577","85,731,587.00",433
California - Statewide,California,2019,1st Qtr,Private,4,1114,Greenhouse and Nursery Production,"1,050","26,330","26,126","26,303","26,562","244,586,908.00",715
California - Statewide,California,2019,1st Qtr,Private,5,11142,Nursery and Floriculture Production,839,"21,602","21,477","21,608","21,722","197,628,986.00",704
California - Statewide,California,2019,1st Qtr,Private,6,111940,Hay Farming,352,"2,296","2,106","2,345","2,437","21,597,711.00",724
California - Statewide,California,2019,1st Qtr,Private,5,11199,All Other Crop Farming,630,"3,737","3,589","3,686","3,938","37,959,444.00",781
California - Statewide,California,2019,1st Qtr,Private,4,1121,Cattle Ranching and Farming,"1,846","22,122","22,077","22,144","22,145","219,337,345.00",763
California - Statewide,California,2019,1st Qtr,Private,6,112120,Dairy Cattle and Milk Production,"1,140","17,483","17,427","17,511","17,511","173,928,896.00",765
California - Statewide,California,2019,1st Qtr,Private,5,11221,Hog and Pig Farming,14,143,139,145,146,"1,619,703.00",869
California - Statewide,California,2019,1st Qtr,Private,6,112320,Broiler and Meat Type Chicken Production,18,66,63,67,68,"531,793.00",620
California - Statewide,California,2019,1st Qtr,Private,5,11233,Turkey Production,15,489,486,494,489,"7,511,579.00","1,180.00"
California - Statewide,California,2019,1st Qtr,Private,6,112330,Turkey Production,15,489,486,494,489,"7,511,579.00","1,180.00"
California - Statewide,California,2019,1st Qtr,Private,5,11239,Other Poultry Production,16,233,231,231,239,"2,314,337.00",762
California - Statewide,California,2019,1st Qtr,Private,6,112519,Other Animal Aquaculture,9,29,30,29,29,"384,901.00","1,009.00"
California - Statewide,California,2019,1st Qtr,Private,6,112910,Apiculture,191,"1,134","1,040","1,148","1,215","10,903,316.00",739
California - Statewide,California,2019,1st Qtr,Private,6,113210,Forest Nursery/Gathering Forest Products,26,211,250,205,179,"2,416,431.00",880
California - Statewide,California,2019,1st Qtr,Private,4,1133,Logging,259,"1,380","1,429","1,369","1,342","18,076,467.00","1,008.00"
California - Statewide,California,2019,1st Qtr,Private,3,114,"Fishing, Hunting and Trapping",224,542,506,572,549,"9,650,813.00","1,369.00"
California - Statewide,California,2019,1st Qtr,Private,6,114210,Hunting and Trapping,19,55,53,56,56,"526,844.00",737
California - Statewide,California,2019,1st Qtr,Private,5,11511,Support Activities for Crop Production,"3,602","180,001","181,694","181,640","176,670","1,371,049,927.00",586
California - Statewide,California,2019,1st Qtr,Private,6,115111,Cotton Ginning,20,326,413,306,259,"4,764,705.00","1,124.00"
California - Statewide,California,2019,1st Qtr,Private,6,115113,"Crop Harvesting, Primarily by Machine",311,"5,491","5,626","5,255","5,594","45,439,195.00",636
California - Statewide,California,2019,1st Qtr,Private,2,11,"Agriculture, Forestry, Fishing & Hunting","16,864","350,989","348,961","352,108","351,899","2,884,493,255.00",632
California - Statewide,California,2019,1st Qtr,Private,3,111,Crop Production,"9,272","136,332","132,766","135,777","140,455","1,151,693,153.00",650
California - Statewide,California,2019,1st Qtr,Private,6,111110,Soybean Farming,3,12,12,12,13,"181,006.00","1,129.00"
California - Statewide,California,2019,1st Qtr,Private,5,11113,Dry Pea and Bean Farming,14,431,441,429,425,"4,263,850.00",760
California - Statewide,California,2019,1st Qtr,Private,4,1112,Vegetable and Melon Farming,885,"25,395","24,301","24,971","26,915","245,739,395.00",744
California - Statewide,California,2019,1st Qtr,Private,6,111219,Other Vegetable and Melon Farming,822,"23,187","22,202","22,999","24,362","235,206,787.00",780
California - Statewide,California,2019,1st Qtr,Private,6,111310,Orange Groves,209,"1,608","1,560","1,581","1,684","16,563,533.00",792
California - Statewide,California,2019,1st Qtr,Private,5,11132,Citrus (except Orange) Groves,210,"1,506","1,473","1,489","1,558","12,964,855.00",662
California - Statewide,California,2019,1st Qtr,Private,5,11133,Noncitrus Fruit and Tree Nut Farming,"5,091","71,361","69,755","71,308","73,021","531,079,039.00",572
California - Statewide,California,2019,1st Qtr,Private,6,111331,Apple Orchards,75,456,467,510,392,"2,525,783.00",426
California - Statewide,California,2019,1st Qtr,Private,6,111334,Berry (except Strawberry) Farming,107,"6,376","5,829","6,406","6,893","37,141,186.00",448
California - Statewide,California,2019,1st Qtr,Private,5,11141,Food Crops Grown Under Cover,211,"4,728","4,649","4,695","4,840","46,957,922.00",764
California - Statewide,California,2019,1st Qtr,Private,6,111422,Floriculture Production,334,"7,453","7,321","7,550","7,488","69,862,664.00",721
California - Statewide,California,2019,1st Qtr,Private,5,11194,Hay Farming,352,"2,296","2,106","2,345","2,437","21,597,711.00",724
California - Statewide,California,2019,1st Qtr,Private,6,112111,Beef Cattle Ranching and Farming,671,"3,990","4,004","3,981","3,986","37,641,146.00",726
California - Statewide,California,2019,1st Qtr,Private,4,1123,Poultry and Egg Production,150,"2,581","2,554","2,580","2,609","29,736,940.00",886
California - Statewide,California,2019,1st Qtr,Private,5,11231,Chicken Egg Production,76,"1,574","1,563","1,569","1,592","17,374,784.00",849
California - Statewide,California,2019,1st Qtr,Private,5,11234,Poultry Hatcheries,25,217,211,219,221,"2,004,447.00",711
California - Statewide,California,2019,1st Qtr,Private,6,112390,Other Poultry Production,16,233,231,231,239,"2,314,337.00",762
California - Statewide,California,2019,1st Qtr,Private,5,11242,Goat Farming,23,106,106,105,107,"835,675.00",606
California - Statewide,California,2019,1st Qtr,Private,6,112511,Finfish Farming and Fish Hatcheries,50,317,330,308,314,"3,938,376.00",955
California - Statewide,California,2019,1st Qtr,Private,6,112512,Shellfish Farming,20,135,138,141,127,"1,238,326.00",704
California - Statewide,California,2019,1st Qtr,Private,4,1129,Other Animal Production,412,"2,239","2,139","2,255","2,323","24,149,541.00",830
California - Statewide,California,2019,1st Qtr,Private,4,1131,Timber Tract Operations,15,18,19,17,18,"186,301.00",796
California - Statewide,California,2019,1st Qtr,Private,5,11311,Timber Tract Operations,15,18,19,17,18,"186,301.00",796
California - Statewide,California,2019,1st Qtr,Private,6,113110,Timber Tract Operations,15,18,19,17,18,"186,301.00",796
California - Statewide,California,2019,1st Qtr,Private,6,113310,Logging,259,"1,380","1,429","1,369","1,342","18,076,467.00","1,008.00"
California - Statewide,California,2019,1st Qtr,Private,5,11411,Fishing,205,487,453,516,493,"9,123,969.00","1,440.00"
California - Statewide,California,2019,1st Qtr,Private,6,114111,Finfish Fishing,139,345,321,365,350,"6,401,079.00","1,426.00"
California - Statewide,California,2019,1st Qtr,Private,6,115112,"Soil Preparation, Planting, Cultivating",784,"11,986","11,696","11,962","12,302","110,558,218.00",709
California - Statewide,California,2019,1st Qtr,Private,5,11531,Support Activities for Forestry,151,"1,527","1,501","1,519","1,563","20,500,989.00","1,032.00"
California - Statewide,California,2019,2nd Qtr,Local Government,3,115,Agriculture & Forestry Support Activity,7,82,85,86,77,"1,006,191.00",936
California - Statewide,California,2019,2nd Qtr,Private,6,111140,Wheat Farming,39,236,222,235,253,"2,524,037.00",820
California - Statewide,California,2019,2nd Qtr,Private,5,11116,Rice Farming,456,"1,771","1,559","2,012","1,742","19,604,709.00",852
California - Statewide,California,2019,2nd Qtr,Private,5,11119,Other Grain Farming,56,540,615,554,451,"5,377,699.00",766
California - Statewide,California,2019,2nd Qtr,Private,6,111199,All Other Grain Farming,39,205,190,206,220,"2,298,337.00",861
California - Statewide,California,2019,2nd Qtr,Private,4,1113,Fruit and Tree Nut Farming,"5,528","101,336","92,217","103,031","108,760","882,941,565.00",670
California - Statewide,California,2019,2nd Qtr,Private,6,111419,Other Food Crops Grown Under Cover,193,"2,631","2,484","2,642","2,767","26,151,143.00",765
California - Statewide,California,2019,2nd Qtr,Private,4,1119,Other Crop Farming,"1,214","9,899","9,180","10,097","10,421","105,211,105.00",818
California - Statewide,California,2019,2nd Qtr,Private,4,1111,Oilseed and Grain Farming,634,"3,355","3,183","3,620","3,264","36,073,219.00",827
California - Statewide,California,2019,2nd Qtr,Private,5,11111,Soybean Farming,3,11,12,11,12,"153,094.00","1,009.00"
California - Statewide,California,2019,2nd Qtr,Private,6,111130,Dry Pea and Bean Farming,14,434,445,430,427,"4,311,130.00",764
California - Statewide,California,2019,2nd Qtr,Private,5,11114,Wheat Farming,39,236,222,235,253,"2,524,037.00",820
California - Statewide,California,2019,2nd Qtr,Private,6,111150,Corn Farming,59,344,312,358,362,"3,823,670.00",855
California - Statewide,California,2019,2nd Qtr,Private,6,111160,Rice Farming,456,"1,771","1,559","2,012","1,742","19,604,709.00",852
California - Statewide,California,2019,2nd Qtr,Private,6,111191,Oilseed and Grain Combination Farming,17,334,425,348,231,"3,079,362.00",708
California - Statewide,California,2019,2nd Qtr,Private,5,11131,Orange Groves,207,"1,696","1,695","1,699","1,696","18,116,776.00",821
California - Statewide,California,2019,2nd Qtr,Private,6,111332,Grape Vineyards,"1,447","20,519","19,367","20,394","21,798","195,842,127.00",734
California - Statewide,California,2019,2nd Qtr,Private,6,111335,Tree Nut Farming,"1,939","16,529","15,888","17,026","16,674","159,775,457.00",744
California - Statewide,California,2019,2nd Qtr,Private,6,111336,Fruit and Tree Nut Combination Farming,292,"5,183","4,830","5,209","5,510","47,656,993.00",707
California - Statewide,California,2019,2nd Qtr,Private,6,111339,Other Noncitrus Fruit Farming,933,"12,759","11,743","13,124","13,411","101,868,019.00",614
California - Statewide,California,2019,2nd Qtr,Private,6,111411,Mushroom Production,34,"2,235","2,259","2,233","2,214","22,716,312.00",782
California - Statewide,California,2019,2nd Qtr,Private,6,111421,Nursery and Tree Production,505,"14,959","14,786","15,011","15,080","150,402,668.00",773
California - Statewide,California,2019,2nd Qtr,Private,5,11211,"Beef Cattle Ranching, Farming, Feedlots",707,"4,710","4,662","4,745","4,723","46,828,332.00",765
California - Statewide,California,2019,2nd Qtr,Private,6,112112,Cattle Feedlots,35,653,642,657,660,"7,990,545.00",941
California - Statewide,California,2019,2nd Qtr,Private,5,11212,Dairy Cattle and Milk Production,"1,140","17,838","17,698","17,889","17,927","185,553,988.00",800
California - Statewide,California,2019,2nd Qtr,Private,6,112210,Hog and Pig Farming,14,141,139,138,147,"1,514,046.00",824
California - Statewide,California,2019,2nd Qtr,Private,6,112310,Chicken Egg Production,76,"1,559","1,558","1,538","1,582","15,626,803.00",771
California - Statewide,California,2019,2nd Qtr,Private,5,11232,Broiler and Meat Type Chicken Production,18,70,72,67,71,"686,008.00",754
California - Statewide,California,2019,2nd Qtr,Private,6,112340,Poultry Hatcheries,24,212,220,209,209,"1,812,600.00",656
California - Statewide,California,2019,2nd Qtr,Private,4,1124,Sheep and Goat Farming,84,368,383,369,353,"2,766,474.00",578
California - Statewide,California,2019,2nd Qtr,Private,5,11241,Sheep Farming,61,259,276,260,242,"1,868,387.00",554
California - Statewide,California,2019,2nd Qtr,Private,6,112410,Sheep Farming,61,259,276,260,242,"1,868,387.00",554
California - Statewide,California,2019,2nd Qtr,Private,5,11251,Animal Aquaculture,82,478,472,468,495,"5,648,386.00",908
California - Statewide,California,2019,2nd Qtr,Private,5,11291,Apiculture,195,"1,279","1,277","1,297","1,264","14,377,834.00",865
California - Statewide,California,2019,2nd Qtr,Private,6,112990,All Other Animal Production,119,795,788,795,804,"9,146,737.00",884
California - Statewide,California,2019,2nd Qtr,Private,5,11321,Forest Nursery/Gathering Forest Products,27,163,180,170,141,"2,220,220.00","1,043.00"
California - Statewide,California,2019,2nd Qtr,Private,5,11331,Logging,263,"1,979","1,533","2,123","2,282","25,810,426.00","1,003.00"
California - Statewide,California,2019,2nd Qtr,Private,4,1141,Fishing,207,372,409,343,366,"3,950,019.00",815
California - Statewide,California,2019,2nd Qtr,Private,4,1142,Hunting and Trapping,19,52,52,53,52,"590,094.00",867
California - Statewide,California,2019,2nd Qtr,Private,5,11421,Hunting and Trapping,19,52,52,53,52,"590,094.00",867
California - Statewide,California,2019,2nd Qtr,Private,3,115,Agriculture & Forestry Support Activity,"4,536","252,881","218,280","265,377","274,988","2,061,812,586.00",627
California - Statewide,California,2019,2nd Qtr,Private,6,115114,Postharvest Crop Activities,570,"49,910","41,663","55,478","52,590","513,249,003.00",791
California - Statewide,California,2019,2nd Qtr,Private,6,115115,Farm Labor Contractors and Crew Leaders,"1,451","165,174","140,920","171,423","183,181","1,140,692,406.00",531
California - Statewide,California,2019,2nd Qtr,Private,5,11521,Support Activities for Animal Production,739,"2,998","3,028","2,996","2,970","29,678,224.00",761
California - Statewide,California,2019,2nd Qtr,Private,6,115210,Support Activities for Animal Production,739,"2,998","3,028","2,996","2,970","29,678,224.00",761
California - Statewide,California,2019,2nd Qtr,Private,4,1153,Support Activities for Forestry,151,"2,079","1,902","2,096","2,241","24,957,428.00",923
California - Statewide,California,2019,2nd Qtr,Private,6,115310,Support Activities for Forestry,151,"2,079","1,902","2,096","2,241","24,957,428.00",923
California - Statewide,California,2019,2nd Qtr,Private,2,11,"Agriculture, Forestry, Fishing & Hunting","16,994","457,995","410,548","473,139","490,300","4,037,943,758.00",678
California - Statewide,California,2019,2nd Qtr,Private,5,11112,Oilseed (except Soybean) Farming,7,18,18,20,17,"278,880.00","1,170.00"
California - Statewide,California,2019,2nd Qtr,Private,6,111120,Oilseed (except Soybean) Farming,7,18,18,20,17,"278,880.00","1,170.00"
California - Statewide,California,2019,2nd Qtr,Private,5,11115,Corn Farming,59,344,312,358,362,"3,823,670.00",855
California - Statewide,California,2019,2nd Qtr,Private,5,11121,Vegetable and Melon Farming,889,"31,988","29,848","32,196","33,920","348,502,146.00",838
California - Statewide,California,2019,2nd Qtr,Private,6,111211,Potato Farming,62,"2,668","2,565","2,629","2,812","19,338,935.00",557
California - Statewide,California,2019,2nd Qtr,Private,6,111320,Citrus (except Orange) Groves,213,"1,453","1,613","1,353","1,395","13,865,638.00",734
California - Statewide,California,2019,2nd Qtr,Private,6,111333,Strawberry Farming,316,"31,613","27,241","32,988","34,610","264,647,950.00",644
California - Statewide,California,2019,2nd Qtr,Private,4,1114,Greenhouse and Nursery Production,"1,067","27,440","27,318","27,537","27,466","274,514,919.00",770
California - Statewide,California,2019,2nd Qtr,Private,5,11142,Nursery and Floriculture Production,840,"22,574","22,575","22,662","22,485","225,647,464.00",769
California - Statewide,California,2019,2nd Qtr,Private,6,111940,Hay Farming,353,"2,995","2,805","3,026","3,155","32,469,993.00",834
California - Statewide,California,2019,2nd Qtr,Private,5,11199,All Other Crop Farming,646,"4,752","4,289","4,907","5,060","48,667,128.00",788
California - Statewide,California,2019,2nd Qtr,Private,4,1121,Cattle Ranching and Farming,"1,847","22,548","22,360","22,634","22,650","232,382,320.00",793
California - Statewide,California,2019,2nd Qtr,Private,6,112120,Dairy Cattle and Milk Production,"1,140","17,838","17,698","17,889","17,927","185,553,988.00",800
California - Statewide,California,2019,2nd Qtr,Private,5,11221,Hog and Pig Farming,14,141,139,138,147,"1,514,046.00",824
California - Statewide,California,2019,2nd Qtr,Private,6,112320,Broiler and Meat Type Chicken Production,18,70,72,67,71,"686,008.00",754
California - Statewide,California,2019,2nd Qtr,Private,5,11233,Turkey Production,15,478,485,479,472,"6,336,993.00","1,018.00"
California - Statewide,California,2019,2nd Qtr,Private,6,112330,Turkey Production,15,478,485,479,472,"6,336,993.00","1,018.00"
California - Statewide,California,2019,2nd Qtr,Private,5,11239,Other Poultry Production,16,242,246,242,238,"2,388,346.00",759
California - Statewide,California,2019,2nd Qtr,Private,6,112519,Other Animal Aquaculture,11,32,29,27,40,"438,467.00","1,054.00"
California - Statewide,California,2019,2nd Qtr,Private,6,112910,Apiculture,195,"1,279","1,277","1,297","1,264","14,377,834.00",865
California - Statewide,California,2019,2nd Qtr,Private,6,113210,Forest Nursery/Gathering Forest Products,27,163,180,170,141,"2,220,220.00","1,043.00"
California - Statewide,California,2019,2nd Qtr,Private,4,1133,Logging,263,"1,979","1,533","2,123","2,282","25,810,426.00","1,003.00"
California - Statewide,California,2019,2nd Qtr,Private,3,114,"Fishing, Hunting and Trapping",226,425,461,396,418,"4,540,113.00",822
California - Statewide,California,2019,2nd Qtr,Private,6,114210,Hunting and Trapping,19,52,52,53,52,"590,094.00",867
California - Statewide,California,2019,2nd Qtr,Private,5,11511,Support Activities for Crop Production,"3,646","247,804","213,350","260,285","269,777","2,007,176,934.00",623
California - Statewide,California,2019,2nd Qtr,Private,6,115111,Cotton Ginning,20,155,153,156,157,"2,329,595.00","1,154.00"
California - Statewide,California,2019,2nd Qtr,Private,6,115113,"Crop Harvesting, Primarily by Machine",314,"6,799","6,738","6,812","6,848","66,892,301.00",757
California - Statewide,California,2019,2nd Qtr,Private,3,112,Animal Production,"2,594","28,502","28,327","28,566","28,614","296,041,319.00",799
California - Statewide,California,2019,2nd Qtr,Private,4,1122,Hog and Pig Farming,14,141,139,138,147,"1,514,046.00",824
California - Statewide,California,2019,2nd Qtr,Private,6,112420,Goat Farming,23,109,107,109,111,"898,087.00",634
California - Statewide,California,2019,2nd Qtr,Private,4,1125,Animal Aquaculture,82,478,472,468,495,"5,648,386.00",908
California - Statewide,California,2019,2nd Qtr,Private,5,11299,All Other Animal Production,119,795,788,795,804,"9,146,737.00",884
California - Statewide,California,2019,2nd Qtr,Private,3,113,Forestry and Logging,306,"2,167","1,734","2,319","2,449","28,306,786.00","1,005.00"
California - Statewide,California,2019,2nd Qtr,Private,4,1132,Forest Nursery/Gathering Forest Products,27,163,180,170,141,"2,220,220.00","1,043.00"
California - Statewide,California,2019,2nd Qtr,Private,4,1151,Support Activities for Crop Production,"3,646","247,804","213,350","260,285","269,777","2,007,176,934.00",623
California - Statewide,California,2019,2nd Qtr,Private,6,115116,Farm Management Services,501,"12,217","10,992","12,575","13,085","138,995,407.00",875
California - Statewide,California,2019,2nd Qtr,Private,4,1152,Support Activities for Animal Production,739,"2,998","3,028","2,996","2,970","29,678,224.00",761
California - Statewide,California,2019,2nd Qtr,Private,3,111,Crop Production,"9,332","174,019","161,746","176,481","183,831","1,647,242,954.00",728
California - Statewide,California,2019,2nd Qtr,Private,6,111110,Soybean Farming,3,11,12,11,12,"153,094.00","1,009.00"
California - Statewide,California,2019,2nd Qtr,Private,5,11113,Dry Pea and Bean Farming,14,434,445,430,427,"4,311,130.00",764
California - Statewide,California,2019,2nd Qtr,Private,4,1112,Vegetable and Melon Farming,889,"31,988","29,848","32,196","33,920","348,502,146.00",838
California - Statewide,California,2019,2nd Qtr,Private,6,111219,Other Vegetable and Melon Farming,827,"29,319","27,283","29,567","31,108","329,163,211.00",864
California - Statewide,California,2019,2nd Qtr,Private,6,111310,Orange Groves,207,"1,696","1,695","1,699","1,696","18,116,776.00",821
California - Statewide,California,2019,2nd Qtr,Private,5,11132,Citrus (except Orange) Groves,213,"1,453","1,613","1,353","1,395","13,865,638.00",734
California - Statewide,California,2019,2nd Qtr,Private,5,11133,Noncitrus Fruit and Tree Nut Farming,"5,108","98,185","88,909","99,979","105,669","850,959,151.00",667
California - Statewide,California,2019,2nd Qtr,Private,6,111331,Apple Orchards,72,391,409,367,398,"2,541,963.00",500
California - Statewide,California,2019,2nd Qtr,Private,6,111334,Berry (except Strawberry) Farming,109,"11,190","9,431","10,871","13,268","78,626,642.00",541
California - Statewide,California,2019,2nd Qtr,Private,5,11141,Food Crops Grown Under Cover,227,"4,866","4,743","4,875","4,981","48,867,455.00",772
