Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield (Unit/Acre), Production, Price (Dollars/Unit), Unit, Value (Dollars)
2020,482999,APIARY PRODUCTS BEESWAX ,107,Tulare ,  ,  ,50000,3.5,Lbs ,175000
2020,482999,APIARY PRODUCTS BEESWAX ,111,Ventura ,  ,  ,25400,4.02,Lbs ,102000
2020,482999,APIARY PRODUCTS BEESWAX ,999, State Totals,,  ,1707080,3.99,Lbs ,6809962
2020,481999,APIARY PRODUCTS HONEY ,11,Colusa ,  ,  ,60700,5.01,Lbs ,304000
2020,481999,APIARY PRODUCTS HONEY ,19,Fresno ,  ,  ,7129000,2.33,Lbs ,16611000
2020,481999,APIARY PRODUCTS HONEY ,27,Inyo ,  ,  ,56600,3.14,Lbs ,178000
2020,481999,APIARY PRODUCTS HONEY ,29,Kern ,  ,  ,5546000,1.78,Lbs ,9872000
2020,481999,APIARY PRODUCTS HONEY ,31,Kings ,  ,  ,847000,1.92,Lbs ,1625000
2020,481999,APIARY PRODUCTS HONEY ,39,Madera ,  ,  ,808000,2.17,Lbs ,1753000
2020,481999,APIARY PRODUCTS HONEY ,47,Merced ,  ,  ,1498000,1.78,Lbs ,2667000
2020,481999,APIARY PRODUCTS HONEY ,53,Monterey ,  ,  ,10900,2.31,Lbs ,25200
2020,481999,APIARY PRODUCTS HONEY ,57,Nevada ,  ,  ,26500,4.26,Lbs ,113000
2020,481999,APIARY PRODUCTS HONEY ,63,Plumas ,  ,  ,2790,9.32,Lbs ,26000
2020,481999,APIARY PRODUCTS HONEY ,65,Riverside ,  ,  ,564000,1.9,Lbs ,1072000
2020,481999,APIARY PRODUCTS HONEY ,77,San Joaquin ,  ,  ,3960000,2.8,Lbs ,11088000
2020,481999,APIARY PRODUCTS HONEY ,81,San Mateo ,  ,  ,41000,11.1,Lbs ,455000
2020,481999,APIARY PRODUCTS HONEY ,89,Shasta ,  ,  ,42800,2.48,Lbs ,106000
2020,481999,APIARY PRODUCTS HONEY ,91,Sierra ,  ,  ,3600,9,Lbs ,32400
2020,481999,APIARY PRODUCTS HONEY ,99,Stanislaus ,  ,  ,7473000,2.03,Lbs ,15169000
2020,481999,APIARY PRODUCTS HONEY ,107,Tulare ,  ,  ,14856000,4.2,Lbs ,62321000
2020,481999,APIARY PRODUCTS HONEY ,111,Ventura ,  ,  ,1447000,2.32,Lbs ,3356000
2020,481999,APIARY PRODUCTS HONEY ,999, State Totals,,  ,44372890,2.86,Lbs ,126773600
2020,486999,APIARY PRODUCTS POLLINATION FEES ,7,Butte ,  ,  ,  ,  ,,15042000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,11,Colusa ,  ,  ,137000,200.31,Col ,27442000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,19,Fresno ,  ,  ,  ,  ,  ,123294000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,25,Imperial ,  ,  ,41400,75.46,Col ,3124000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,29,Kern ,  ,  ,480000,192.38,Col ,92344000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,31,Kings ,  ,  ,78400,187.78,Col ,14722000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,39,Madera ,  ,  ,318000,205,Col ,65190000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,47,Merced ,  ,  ,166000,190.01,Col ,31542000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,53,Monterey ,  ,  ,2450,66.12,Col ,162000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,65,Riverside ,  ,  ,25000,190,Col ,4750000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,73,San Diego ,  ,  ,  ,  ,  ,3916000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,77,San Joaquin ,  ,  ,198000,185.81,Col ,36791000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,89,Shasta ,  ,  ,8880,201.58,Col ,1790000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,95,Solano ,  ,  ,35000,145.91,Col ,5107000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,99,Stanislaus ,  ,  ,435000,204.14,Col ,88800000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,103,Tehama ,  ,  ,32600,192.09,Col ,6262000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,107,Tulare ,  ,  ,255000,197,Col ,50235000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,111,Ventura ,  ,  ,  ,  ,  ,2334000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,115,Yuba ,  ,  ,10900,48.62,Col ,530000
2020,486999,APIARY PRODUCTS POLLINATION FEES ,999, State Totals,,  ,2223630,192.83,Col ,573377000
2020,211999,APPLES ALL ,17,El Dorado ,835,  ,  ,  ,  ,22079000
2020,211999,APPLES ALL ,45,Mendocino ,216,0.9,194,778.35,Tons ,151000
2020,211999,APPLES ALL ,61,Placer ,49,0.45,22,3286.36,Tons ,72300
2020,211999,APPLES ALL ,65,Riverside ,22,2.32,51,1909.8,Tons ,97400
2020,211999,APPLES ALL ,69,San Benito ,348,13.45,4680,279.91,Tons ,1310000
2020,211999,APPLES ALL ,71,San Bernardino ,255,1.7,433,4739.03,Tons ,2052000
2020,211999,APPLES ALL ,73,San Diego ,148,1.71,253,2166.01,Tons ,548000
2020,211999,APPLES ALL ,77,San Joaquin ,1870,15.13,28300,454.13,Tons ,12852000
2020,211999,APPLES ALL ,87,Santa Cruz ,2030,15.52,31500,348.6,Tons ,10981000
2020,211999,APPLES ALL ,93,Siskiyou ,26,  ,  ,  ,  ,38000
2020,211999,APPLES ALL ,97,Sonoma ,2170,3.79,8230,472.66,Tons ,3890000
2020,211999,APPLES ALL ,999, State Totals,7969,10.36,73663,433.78,Tons ,54070700
2020,217999,APRICOTS ALL ,13,Contra Costa ,169,2.53,427,3412.18,Tons ,1457000
2020,217999,APRICOTS ALL ,19,Fresno ,1410,4.83,6810,1730.98,Tons ,11788000
2020,217999,APRICOTS ALL ,31,Kings ,720,7,5040,1250,Tons ,6300000
2020,217999,APRICOTS ALL ,65,Riverside ,12,2.33,28,1989.29,Tons ,55700
2020,217999,APRICOTS ALL ,69,San Benito ,537,3.69,1980,648.99,Tons ,1285000
2020,217999,APRICOTS ALL ,77,San Joaquin ,550,4.78,2630,798.48,Tons ,2100000
2020,217999,APRICOTS ALL ,85,Santa Clara ,115,1.5,173,1005.78,Tons ,174000
2020,217999,APRICOTS ALL ,99,Stanislaus ,2190,4.93,10800,833.98,Tons ,9007000
2020,217999,APRICOTS ALL ,107,Tulare ,968,6.82,6600,2630,Tons ,17358000
2020,217999,APRICOTS ALL ,999, State Totals,6671,5.17,34488,1436,Tons ,49524700
2020,301999,ARTICHOKES ,53,Monterey ,3620,7.1,25700,1360,Tons ,34952000
2020,301999,ARTICHOKES ,65,Riverside ,780,8.5,6630,1836.05,Tons ,12173000
2020,301999,ARTICHOKES ,81,San Mateo ,46,2.39,110,2700,Tons ,297000
2020,301999,ARTICHOKES ,111,Ventura ,702,5.73,4020,1779.6,Tons ,7154000
2020,301999,ARTICHOKES ,999, State Totals,5148,7.08,36460,1496.87,Tons ,54576000
2020,302999,ASPARAGUS UNSPECIFIED ,19,Fresno ,490,2.33,1140,3788.6,Tons ,4319000
2020,302999,ASPARAGUS UNSPECIFIED ,53,Monterey ,330,3.64,1200,1940,Tons ,2328000
2020,302999,ASPARAGUS UNSPECIFIED ,999, State Totals,820,2.85,2340,2840.6,Tons ,6647000
2020,221999,AVOCADOS ALL ,53,Monterey ,223,5.56,1240,2379.84,Tons ,2951000
2020,221999,AVOCADOS ALL ,65,Riverside ,3020,  ,  ,  ,Tons ,88697000
2020,221999,AVOCADOS ALL ,71,San Bernardino ,370,2.16,799,2617.02,Tons ,2091000
2020,221999,AVOCADOS ALL ,73,San Diego ,14400,3.51,50500,3028.87,Tons ,152958000
2020,221999,AVOCADOS ALL ,79,San Luis Obispo ,4240,5.9,25000,1886.76,Tons ,47169000
2020,221999,AVOCADOS ALL ,83,Santa Barbara ,5770,4.89,28200,2842.59,Tons ,80161000
2020,221999,AVOCADOS ALL ,111,Ventura ,16400,4.29,70300,2556.57,Tons ,179727000
2020,221999,AVOCADOS ALL ,999, State Totals,44423,4.25,176039,2641.78,Tons ,553754000
2020,113995,BARLEY FEED ,991,Sum of Others ,1320,  ,  ,  ,,237000
2020,113995,BARLEY FEED ,999, State Totals,1320,  ,,  ,,237000
2020,113999,BARLEY UNSPECIFIED ,29,Kern ,1410,1.57,2210,174.21,Tons ,385000
2020,113999,BARLEY UNSPECIFIED ,47,Merced ,595,2.12,1260,225.4,Tons ,284000
2020,113999,BARLEY UNSPECIFIED ,49,Modoc ,3640,2.35,8540,170.02,Tons ,1452000
2020,113999,BARLEY UNSPECIFIED ,53,Monterey ,3990,0.96,3830,143.08,Tons ,548000
2020,113999,BARLEY UNSPECIFIED ,65,Riverside ,16,4,64,86.56,Tons ,5540
2020,113999,BARLEY UNSPECIFIED ,79,San Luis Obispo ,8260,1.44,11900,185.88,Tons ,2212000
2020,113999,BARLEY UNSPECIFIED ,93,Siskiyou ,5690,2.25,12800,217.73,Tons ,2787000
2020,113999,BARLEY UNSPECIFIED ,107,Tulare ,3100,1.91,5920,210.98,Tons ,1249000
2020,113999,BARLEY UNSPECIFIED ,999, State Totals,26701,1.74,46524,191.78,Tons ,8922540
2020,161741,BEANS BLACKEYE (PEAS) ,99,Stanislaus ,1060,1.13,1200,1170,Tons ,1404000
2020,161741,BEANS BLACKEYE (PEAS) ,999, State Totals,1060,1.13,1200,1170,Tons ,1404000
2020,169999,BEANS DRY EDIBLE UNSPECIFIED ,7,Butte ,382,2.1,802,1099.75,Tons ,882000
2020,169999,BEANS DRY EDIBLE UNSPECIFIED ,11,Colusa ,3090,1.03,3190,989.03,Tons ,3155000
2020,169999,BEANS DRY EDIBLE UNSPECIFIED ,21,Glenn ,727,1.1,800,1020,Tons ,816000
2020,169999,BEANS DRY EDIBLE UNSPECIFIED ,29,Kern ,558,2.11,1180,923.73,Tons ,1090000
2020,169999,BEANS DRY EDIBLE UNSPECIFIED ,53,Monterey ,1180,1.5,1770,2080.23,Tons ,3682000
2020,169999,BEANS DRY EDIBLE UNSPECIFIED ,77,San Joaquin ,3160,1.17,3700,1082.97,Tons ,4007000
2020,169999,BEANS DRY EDIBLE UNSPECIFIED ,81,San Mateo ,101,0.79,80,8700,Tons ,696000
2020,169999,BEANS DRY EDIBLE UNSPECIFIED ,95,Solano ,2450,1.39,3400,1015.59,Tons ,3453000
2020,169999,BEANS DRY EDIBLE UNSPECIFIED ,99,Stanislaus ,664,0.3,200,1100,Tons ,220000
2020,169999,BEANS DRY EDIBLE UNSPECIFIED ,107,Tulare ,3410,1.1,3750,1810.13,Tons ,6788000
2020,169999,BEANS DRY EDIBLE UNSPECIFIED ,111,Ventura ,365,  ,  ,  ,  ,1046000
2020,169999,BEANS DRY EDIBLE UNSPECIFIED ,991,Sum of Others ,10656,  ,  ,  ,,12028000
2020,169999,BEANS DRY EDIBLE UNSPECIFIED ,999, State Totals,26743,1.2,18872,1313.53,Tons ,37863000
2020,162399,BEANS FAVA ,81,San Mateo ,176,2.34,412,1546.12,Tons ,637000
2020,162399,BEANS FAVA ,999, State Totals,176,2.34,412,1546.12,Tons ,637000
2020,304399,BEANS FRESH UNSPECIFIED ,65,Riverside ,693,25.11,17400,295.17,Tons ,5136000
2020,304399,BEANS FRESH UNSPECIFIED ,71,San Bernardino ,29,4.34,126,2261.9,Tons ,285000
2020,304399,BEANS FRESH UNSPECIFIED ,99,Stanislaus ,796,0.78,621,1120.77,Tons ,696000
2020,304399,BEANS FRESH UNSPECIFIED ,111,Ventura ,3100,1.18,3670,840.87,Tons ,3086000
2020,304399,BEANS FRESH UNSPECIFIED ,999, State Totals,4618,4.72,21817,421.83,Tons ,9203000
2020,161132,BEANS LIMA BABY DRY ,99,Stanislaus ,531,1.15,611,1250.41,Tons ,764000
2020,161132,BEANS LIMA BABY DRY ,999, State Totals,531,1.15,611,1250.41,Tons ,764000
2020,303999,BEANS LIMA GREEN ,991,Sum of Others ,660,  ,  ,  ,,2360000
2020,303999,BEANS LIMA GREEN ,999, State Totals,660,  ,,  ,    ,2360000
2020,161131,BEANS LIMA LARGE DRY ,47,Merced ,1030,1.28,1320,1088.64,Tons ,1437000
2020,161131,BEANS LIMA LARGE DRY ,99,Stanislaus ,5050,1.21,6100,1500,Tons ,9150000
2020,161131,BEANS LIMA LARGE DRY ,999, State Totals,6080,1.22,7420,1426.82,Tons ,10587000
2020,161199,BEANS LIMA UNSPECIFIED ,77,San Joaquin ,2110,1.46,3090,1794.5,Tons ,5545000
2020,161199,BEANS LIMA UNSPECIFIED ,999, State Totals,2110,1.46,3090,1794.5,Tons ,5545000
2020,171619,BEANS SEED ,53,Monterey ,620,1.21,750,3220,Tons ,2415000
2020,171619,BEANS SEED ,991,Sum of Others ,85,  ,  ,  ,,94100
2020,171619,BEANS SEED ,999, State Totals,705,1.21,750,3220,Tons ,2509100
2020,304999,BEANS SNAP UNSPECIFIED ,81,San Mateo ,36,2.42,87,2747.13,Tons ,239000
2020,304999,BEANS SNAP UNSPECIFIED ,85,Santa Clara ,859,4.1,3520,1471.02,Tons ,5178000
2020,304999,BEANS SNAP UNSPECIFIED ,999, State Totals,895,4.03,3607,1501.8,Tons ,5417000
2020,305999,BEETS,65,Riverside ,315,21.27,6700,347.01,Tons ,2325000
2020,305999,BEETS,111,Ventura ,289,14.46,4180,1591.15,Tons ,6651000
2020,305999,BEETS,999, State Totals,604,18.01,10880,825,Tons ,8976000
2020,230639,BERRIES BLACKBERRIES ,53,Monterey ,225,9.02,2030,7730.05,Tons ,15692000
2020,230639,BERRIES BLACKBERRIES ,71,San Bernardino ,1,4,4,12275,Tons ,49100
2020,230639,BERRIES BLACKBERRIES ,83,Santa Barbara ,684,9.12,6240,7461.54,Tons ,46560000
2020,230639,BERRIES BLACKBERRIES ,87,Santa Cruz ,1050,8.54,8970,7056.19,Tons ,63294000
2020,230639,BERRIES BLACKBERRIES ,111,Ventura ,656,7.85,5150,6667.96,Tons ,34340000
2020,230639,BERRIES BLACKBERRIES ,999, State Totals,2616,8.56,22394,7141.87,Tons ,159935100
2020,238199,BERRIES BLUEBERRIES ,19,Fresno ,1300,3.52,4570,6363.02,Tons ,29079000
2020,238199,BERRIES BLUEBERRIES ,29,Kern ,1260,9.13,11500,6808,Tons ,78292000
2020,238199,BERRIES BLUEBERRIES ,77,San Joaquin ,1980,4.23,8370,7063.08,Tons ,59118000
2020,238199,BERRIES BLUEBERRIES ,83,Santa Barbara ,216,2.34,505,9017.82,Tons ,4554000
2020,238199,BERRIES BLUEBERRIES ,107,Tulare ,1960,4.49,8800,6210,Tons ,54648000
2020,238199,BERRIES BLUEBERRIES ,111,Ventura ,636,7.45,4740,8181.65,Tons ,38781000
2020,238199,BERRIES BLUEBERRIES ,999, State Totals,7352,5.23,38485,6872.08,Tons ,264472000
2020,239999,BERRIES BUSHBERRIES UNSPECIFIED ,73,San Diego ,209,8.28,1730,9172.83,Tons ,15869000
2020,239999,BERRIES BUSHBERRIES UNSPECIFIED ,999, State Totals,209,8.28,1730,9172.83,Tons ,15869000
2020,236199,BERRIES RASPBERRIES ,53,Monterey ,579,8.7,5040,7270.04,Tons ,36641000
2020,236199,BERRIES RASPBERRIES ,83,Santa Barbara ,511,6.83,3490,6820.06,Tons ,23802000
2020,236199,BERRIES RASPBERRIES ,87,Santa Cruz ,2050,9.85,20200,6927.43,Tons ,139934000
2020,236199,BERRIES RASPBERRIES ,111,Ventura ,2860,6.43,18400,7692.77,Tons ,141547000
2020,236199,BERRIES RASPBERRIES ,999, State Totals,6000,7.86,47130,7254.91,Tons ,341924000
2020,237199,BERRIES STRAWBERRIES FRESH MARKET ,53,Monterey ,,,351000,2600,Tons ,912600000
2020,237199,BERRIES STRAWBERRIES FRESH MARKET ,79,San Luis Obispo ,,,98200,2602.34,Tons ,255550000
2020,237199,BERRIES STRAWBERRIES FRESH MARKET ,83,Santa Barbara ,,,324000,2038.78,Tons ,660566000
2020,237199,BERRIES STRAWBERRIES FRESH MARKET ,111,Ventura ,,,177000,2955.87,Tons ,523189000
2020,237199,BERRIES STRAWBERRIES FRESH MARKET ,999, State Totals,,,950200,2475.17,Tons ,2351905000
2020,237299,BERRIES STRAWBERRIES PROCESSING ,53,Monterey ,,,18500,545.03,Tons ,10083000
2020,237299,BERRIES STRAWBERRIES PROCESSING ,79,San Luis Obispo ,,,32400,988.02,Tons ,32012000
2020,237299,BERRIES STRAWBERRIES PROCESSING ,83,Santa Barbara ,,,57500,1163.1,Tons ,66878000
2020,237299,BERRIES STRAWBERRIES PROCESSING ,111,Ventura ,,,49700,1049.98,Tons ,52184000
2020,237299,BERRIES STRAWBERRIES PROCESSING ,999, State Totals,,,158100,1019.34,Tons ,161157000
2020,237999,BERRIES STRAWBERRIES ALL,53,Monterey ,10000,36.95,369500,2497.11,Tons ,922683000
2020,237999,BERRIES STRAWBERRIES ALL,61,Placer ,17,5,85,2505.88,Tons ,213000
2020,237999,BERRIES STRAWBERRIES ALL,65,Riverside ,58,10.5,609,3582.92,Tons ,2182000
2020,237999,BERRIES STRAWBERRIES ALL,71,San Bernardino ,40,10,400,6995,Tons ,2798000
2020,237999,BERRIES STRAWBERRIES ALL,73,San Diego ,200,27,5400,2389.63,Tons ,12904000
2020,237999,BERRIES STRAWBERRIES ALL,79,San Luis Obispo ,4070,32.09,130600,2201.85,Tons ,287562000
2020,237999,BERRIES STRAWBERRIES ALL,83,Santa Barbara ,10500,36.33,381500,1906.8,Tons ,727444000
2020,237999,BERRIES STRAWBERRIES ALL,87,Santa Cruz ,2140,34.86,74600,2599.34,Tons ,193911000
2020,237999,BERRIES STRAWBERRIES ALL,111,Ventura ,8800,25.76,226700,2538.04,Tons ,575373000
2020,237999,BERRIES STRAWBERRIES ALL,999, State Totals,35825,33.2,1189394,2291.14,Tons ,2725070000
2020,937999,BIOMASS FOR ENERGY ,47,Merced ,  ,  ,66900,22.53,Tons ,1507000
2020,937999,BIOMASS FOR ENERGY ,999, State Totals,,  ,66900,22.53,Tons ,1507000
2020,218889,BIOMASS ORCHARD ,29,Kern ,  ,  ,474000,27.34,Tons ,12958000
2020,218889,BIOMASS ORCHARD ,31,Kings ,  ,  ,20200,8.51,Tons ,172000
2020,218889,BIOMASS ORCHARD ,39,Madera ,  ,  ,4500,205.11,Tons ,923000
2020,218889,BIOMASS ORCHARD ,47,Merced ,  ,  ,69200,5.94,Tons ,411000
2020,218889,BIOMASS ORCHARD ,77,San Joaquin ,  ,  ,183000,4.49,Tons ,822000
2020,218889,BIOMASS ORCHARD ,99,Stanislaus ,  ,  ,289000,8.46,Tons ,2445000
2020,218889,BIOMASS ORCHARD ,107,Tulare ,  ,  ,  ,  ,  ,1111000
2020,218889,BIOMASS ORCHARD ,991,Sum of Others ,  ,  ,  ,  ,,630000
2020,218889,BIOMASS ORCHARD ,999, State Totals,,  ,1039900,17.05,Tons ,19472000
2020,307189,BROCCOLI FOOD SERVICE ,53,Monterey ,11000,6.82,75000,877,Tons ,65775000
